Address,Area,Year,Rooms,Price,Elevator,Parking,Warehouse
زعفرانیه,130,1385,2,120.0,1,1,1
جنت‌آباد جنوبی,102,1401,2,80.392,1,1,1
جنت‌آباد مرکزی,120,1399,2,87.5,1,1,1
پیروزی,53,1385,1,54.716,1,0,1
اندیشه (شهر زیبا),75,1393,2,25.066,1,1,1
تهران‌نو,92,1387,2,69.021,1,1,1
دریاچه شهدای خلیج فارس,90,1401,2,22.4,1,1,1
دریاچه شهدای خلیج فارس,83,1389,2,63.253,1,1,1
شهرک راه‌آهن,98,1397,2,73.469,1,1,1
سازمان برنامه,70,1385,2,71.285,1,0,1
امیریه,78,1394,2,37.179,1,0,1
مرزداران,70,1381,2,78.571,0,1,1
منیریه,117,1398,2,55.555,1,1,1
هروی,115,1400,2,106.086,1,1,1
چیتگر,50,1401,0,22.0,1,1,1
سعادت‌آباد,130,1401,2,130.769,1,1,1
الهیه,365,1397,4,295.0,1,1,1
نیاوران,85,1398,2,129.411,1,1,1
دولت‌آباد,45,1386,1,40.0,0,0,1
شمس‌آباد,61,1392,1,75.409,1,1,1
کوی فردوس,128,1390,3,75.0,1,1,1
مبارک‌آباد بهشتی,62,1398,1,21.645,1,0,1
مبارک‌آباد بهشتی,118,1400,2,21.0,1,1,1
کوهک,128,1400,2,53.125,1,1,1
دریاچه شهدای خلیج فارس,100,1398,2,55.0,1,1,1
دریاچه شهدای خلیج فارس,84,1385,2,57.142,0,1,1
سعادت‌آباد,105,1401,2,130.0,1,1,1
گمرک,95,1387,2,29.473,0,1,1
مبارک‌آباد بهشتی,65,1398,2,25.0,1,0,1
دریاچه شهدای خلیج فارس,112,1396,2,64.285,1,1,1
شهرک راه‌آهن,110,1401,2,33.0,1,1,1
سعادت‌آباد,220,1401,3,200.0,1,1,1
سعادت‌آباد,180,1401,3,200.0,1,1,1
سعادت‌آباد,430,1400,4,200.0,1,1,1
کوهک,175,1398,3,62.857,1,1,1
فرمانیه,208,1400,3,198.0,1,1,1
نیاوران,201,1401,3,200.0,1,1,1
کوی فردوس,70,1386,2,75.0,1,1,1
سازمان برنامه,100,1385,2,66.5,1,1,1
پاسداران,140,1401,4,131.428,1,1,1
امیر بهادر,74,1387,2,42.567,0,1,1
قیطریه,137,1401,3,135.0,1,1,1
فرمانیه,273,1387,4,90.0,1,1,1
شهید اسدی,110,1397,3,47.272,1,1,1
نیاوران,180,1401,3,200.0,1,1,1
دریاچه شهدای خلیج فارس,112,1396,2,63.392,1,1,1
سلسبیل,67,1391,2,67.164,1,1,0
نیاوران,117,1391,2,139.136,1,1,1
دزاشیب,107,1399,2,126.0,1,1,1
سوهانک,104,1387,2,68.75,1,1,1
پاسداران,72,1371,2,110.416,1,1,1
شهرک محلاتی,200,1401,3,125.0,1,1,1
فلاح,47,1395,1,36.0,1,0,0
مولوی,90,1391,2,26.0,1,1,1
چیتگر,110,1396,2,68.0,1,1,1
پونک,76,1389,2,75.0,1,1,1
جی,100,1400,2,36.0,1,1,1
صالح‌آباد شرقی,55,1399,1,10.818,1,0,0
ابوذر (منطقه ۱۵),78,1393,2,64.102,1,1,1
دولت‌آباد,106,1400,2,40.566,1,1,1
اقدسیه,145,1396,3,103.448,1,1,1
استخر,92,1397,2,69.565,1,1,1
سهروردی,112,1399,2,85.714,1,1,1
دزاشیب,1000,1401,3,160.0,1,1,1
چیتگر,55,1401,1,33.09,1,1,1
سلسبیل,54,1385,1,45.0,0,0,1
پونک,75,1384,2,69.333,1,1,1
دریاچه شهدای خلیج فارس,155,1400,3,64.516,1,1,1
حصار بوعلی,275,1388,4,120.0,1,1,1
دریاچه شهدای خلیج فارس,193,1400,3,53.367,1,1,1
کوی فردوس,95,1384,2,68.421,1,1,1
فیروزآبادی,86,1395,2,45.0,1,1,0
دریاچه شهدای خلیج فارس,90,1401,2,22.4,1,1,1
دریاچه شهدای خلیج فارس,161,1396,3,55.0,1,1,1
دریاچه شهدای خلیج فارس,157,1396,3,55.0,1,1,1
چیتگر,130,1401,3,13.523,1,1,1
امیریه,122,1400,2,69.672,1,1,1
فرمانیه,191,1396,3,130.89,1,1,1
نیاوران,300,1401,3,233.333,1,1,1
قیطریه,90,1400,2,133.333,1,1,1
طیب,100,1400,2,36.0,1,1,0
پونک,72,1384,2,56.388,0,0,1
پاسداران,195,1401,3,90.9,1,1,1
جنت‌آباد جنوبی,155,1392,3,85.741,1,1,1
دیلمان,100,1385,2,24.8,0,0,1
ستارخان,150,1399,3,73.333,1,1,1
جنت‌آباد شمالی,71,1382,2,75.352,0,1,1
جنت‌آباد مرکزی,85,1382,2,68.235,0,1,1
کوی فردوس,75,1383,2,70.666,1,1,1
پونک,165,1401,3,121.212,1,1,1
پونک,127,1401,2,120.472,1,1,1
پونک,240,1401,4,125.0,1,1,1
پونک,131,1380,3,62.213,0,1,1
چهارصد دستگاه,84,1384,2,57.142,0,1,1
شهرک شریعتی,115,1401,2,52.173,1,1,0
شمس‌آباد,70,1383,1,62.857,0,0,1
جیحون,54,1381,1,39.444,0,0,1
هروی,177,1401,3,94.0,1,1,1
نصرت,57,1386,1,52.456,1,1,0
فرمانیه,240,1400,3,220.0,1,1,1
جنت‌آباد جنوبی,84,1396,2,85.119,1,1,1
کوهک,117,1398,2,75.213,1,1,1
افسریه,67,1384,2,37.313,1,0,0
کوی مهران,50,1383,1,78.0,0,0,1
سهروردی,140,1398,3,75.0,1,1,1
ابن بابویه,95,1383,2,66.315,0,1,1
علی‌آباد,53,1377,1,24.528,0,0,1
مرزداران,80,1391,2,85.0,1,1,1
مرزداران,210,1398,3,114.285,1,1,1
شهر زیبا,116,1389,3,65.948,1,1,1
فرمانیه,270,1400,4,220.0,1,1,1
کوهک,110,1397,2,70.0,1,1,1
سلسبیل,52,1389,1,42.0,0,0,0
جنت‌آباد جنوبی,87,1394,2,81.609,1,1,1
صادقیه,145,1401,3,86.206,1,1,1
سعادت‌آباد,210,1390,3,158.0,1,1,1
سعادت‌آباد,110,1400,2,144.545,1,1,1
شهرک غرب,162,1401,3,145.0,1,1,1
شهرک غرب,115,1400,2,143.478,1,1,1
پونک,56,1388,1,87.5,1,1,1
سعادت‌آباد,180,1401,3,155.555,1,1,1
قیطریه,125,1401,2,135.0,1,1,1
شهرآرا,125,1400,3,88.0,1,1,1
شیخ هادی,63,1388,2,57.142,1,1,1
هروی,120,1401,2,90.833,1,1,1
شهران جنوبی,113,1400,2,80.53,1,1,1
دریاچه شهدای خلیج فارس,161,1399,3,44.72,1,1,1
هروی,160,1388,3,88.75,1,1,1
هروی,128,1398,2,80.468,1,1,1
شهید دستغیب,91,1398,2,43.956,1,1,1
شهران جنوبی,150,1399,3,81.0,1,1,1
شهران جنوبی,148,1399,3,79.729,1,1,1
المهدی,94,1383,2,55.478,0,1,1
سیدخندان,105,1401,2,120.0,1,1,1
کوهک,169,1398,3,57.396,1,1,1
شهر زیبا,118,1393,2,79.237,1,1,1
شهر زیبا,88,1400,2,68.181,1,1,1
گیشا (کوی نصر),230,1400,4,130.434,1,1,1
پونک,75,1385,2,74.0,1,1,1
وردآورد,135,1401,3,40.0,1,1,1
باغ فیض,75,1382,2,74.666,1,1,1
شهرک غرب,133,1380,3,105.263,1,1,0
دیلمان,50,1395,1,36.6,1,0,1
جنت‌آباد جنوبی,145,1401,3,104.275,1,1,1
وردآورد,105,1401,2,8.0,1,1,1
جیحون,52,1382,1,45.769,0,0,1
آجودانیه,100,1400,2,100.0,1,1,1
سازمان برنامه,102,1383,3,75.0,1,1,1
ایران,150,1401,3,80.0,1,1,1
چیتگر,120,1401,2,13.0,1,1,1
صادقیه,87,1380,2,60.344,1,0,1
الهیه,185,1401,3,280.0,1,1,1
الهیه,370,1400,4,200.0,1,1,1
الهیه,137,1392,3,113.138,1,1,1
شاهین,120,1395,2,83.333,1,1,1
گیشا (کوی نصر),90,1400,2,150.0,1,1,1
گیشا (کوی نصر),68,1388,2,105.882,1,1,1
چیتگر,50,1401,2,21.64,1,1,1
پونک,68,1401,1,110.0,1,1,1
دکتر هوشیار,50,1385,1,45.0,0,0,1
دریاچه شهدای خلیج فارس,117,1400,2,54.7,1,1,1
خانی‌آباد نو,149,1382,3,33.221,0,0,1
شمس‌آباد,185,1401,3,97.297,1,1,1
فرمانیه,200,1399,3,265.0,1,1,1
آبشار تهران,110,1401,2,10.909,1,1,1
هروی,119,1401,2,94.957,1,1,1
دریاچه شهدای خلیج فارس,278,1401,4,148.746,1,1,1
باغ فیض,480,1401,3,87.5,1,1,1
آجودانیه,80,1376,3,48.75,0,1,1
الهیه,140,1388,2,125.0,1,1,1
سازمان برنامه,105,1385,2,74.761,1,1,1
زعفرانیه,275,1390,4,130.909,1,1,1
دریاچه شهدای خلیج فارس,98,1400,2,71.428,1,1,1
ازگل,110,1401,2,109.09,1,1,1
قیطریه,125,1401,2,135.2,1,1,1
قیطریه,138,1397,3,131.884,1,1,1
سعادت‌آباد,85,1385,2,71.764,0,1,1
کوی فردوس,52,1397,1,92.307,1,1,1
زعفرانیه,280,1394,3,190.0,1,1,1
ایرانشهر,74,1398,1,73.783,1,1,1
جنت‌آباد جنوبی,65,1381,2,64.615,0,0,1
صادقیه,60,1390,1,78.333,1,1,1
استاد معین,61,1380,1,48.36,0,1,1
نارمک جنوبی,77,1397,2,59.74,1,1,1
پاسداران,178,1401,3,85.393,1,1,1
تجریش,120,1400,2,155.0,1,1,1
عارف,76,1399,2,48.618,1,1,0
تهران‌سر,92,1387,3,54.0,0,1,1
دریاچه شهدای خلیج فارس,106,1401,2,18.518,1,1,1
زعفرانیه,175,1390,3,148.571,1,1,1
مهرآباد جنوبی,60,1380,1,36.5,0,0,0
سعادت‌آباد,300,1401,4,280.0,1,1,1
سعادت‌آباد,170,1401,3,240.0,1,1,1
تهرانپارس شرقی,106,1396,2,55.0,1,1,1
قیطریه,200,1401,3,125.0,1,1,1
دریاچه شهدای خلیج فارس,155,1399,3,45.161,1,1,1
جی,79,1401,2,41.772,1,1,1
مرزداران,185,1401,3,140.0,1,1,1
چیتگر,130,1401,3,17.5,1,1,1
الهیه,200,1389,3,140.0,1,1,1
فرمانیه,195,1385,3,128.205,1,1,1
ارم,64,1395,1,78.125,1,1,1
کوی فردوس,106,1385,2,70.754,1,1,1
سازمان برنامه,95,1388,3,70.526,1,1,1
حکیمیه,94,1394,2,53.191,1,1,1
دریاچه شهدای خلیج فارس,140,1396,3,57.142,1,1,1
سازمان برنامه,191,1392,3,69.109,1,1,1
کوهک,110,1396,2,58.181,1,1,1
هروی,72,1385,2,69.444,1,1,1
جنت‌آباد جنوبی,85,1391,2,58.823,0,1,1
پونک,68,1395,2,85.294,1,1,1
کاشانک,97,1401,2,114.948,1,1,1
خاک سفید,50,1401,1,28.0,0,0,0
الهیه,330,1395,4,220.909,1,1,1
شهر زیبا,80,1399,2,82.0,1,1,1
جنت‌آباد مرکزی,62,1389,2,85.483,1,1,1
دریاچه شهدای خلیج فارس,150,1398,3,80.0,1,1,1
دریاچه شهدای خلیج فارس,124,1401,2,60.0,1,1,1
مبارک‌آباد بهشتی,50,1400,1,90.0,1,1,0
آبشار تهران,78,1389,2,44.871,0,0,1
دریاچه شهدای خلیج فارس,137,1401,3,65.693,1,1,1
پاسداران,297,1401,4,148.148,1,1,1
پاسداران,119,1401,2,90.0,1,1,1
شهرک سینمایی,86,1400,2,49.651,1,1,1
سازمان برنامه,127,1395,3,88.188,1,1,1
مسعودیه,69,1401,2,37.246,1,1,1
دروس,100,1392,2,125.0,1,1,1
عارف,57,1380,2,38.596,0,0,0
مرزداران,420,1401,4,130.0,1,1,1
پاسداران,102,1387,2,98.039,1,1,1
تهران‌سر,64,1398,1,62.0,1,1,1
پاسداران,90,1384,2,77.777,1,1,1
چیتگر,90,1401,2,22.4,1,1,1
زنجان,98,1401,2,57.142,1,1,1
سلسبیل,98,1399,2,59.795,1,1,1
ابوذر (منطقه ۱۵),60,1385,1,35.833,0,1,1
کوی فردوس,71,1386,2,84.507,1,1,1
دریاچه شهدای خلیج فارس,99,1397,2,60.101,1,1,1
امیرآباد,125,1401,2,92.0,1,1,1
ظفر,92,1371,2,78.26,0,1,0
افسریه,74,1390,2,36.216,0,0,1
دریاچه شهدای خلیج فارس,100,1401,2,17.45,1,1,1
دریاچه شهدای خلیج فارس,135,1397,2,57.777,1,1,1
شاهین,137,1389,3,65.328,1,1,1
هروی,115,1400,1,100.0,1,1,1
سعادت‌آباد,130,1388,3,114.615,1,1,1
شاهین,141,1401,3,84.397,1,1,1
دریاچه شهدای خلیج فارس,100,1401,2,17.5,1,1,1
نواب,68,1385,2,31.617,0,0,1
شاهین,167,1401,3,95.209,1,1,1
شهرک محلاتی,98,1385,2,80.102,1,1,1
فرمانیه,200,1386,3,120.0,1,1,1
مخصوص,70,1385,1,32.142,0,1,1
قیطریه,250,1401,3,160.0,1,1,1
چیتگر,126,1401,2,82.158,1,1,1
زرگنده,182,1381,3,85.164,1,1,1
سعادت‌آباد,130,1389,3,96.538,1,1,1
اختیاریه,105,1385,2,102.857,1,1,1
ولنجک,87,1395,2,109.195,1,1,1
اختیاریه,60,1390,2,120.0,1,1,1
الهیه,200,1397,3,175.0,1,1,1
شهید بروجردی,69,1401,2,35.0,1,1,1
دروس,279,1401,4,172.043,1,1,1
مبارک‌آباد بهشتی,60,1398,1,31.5,1,0,1
مبارک‌آباد بهشتی,80,1400,2,22.25,1,1,1
دروس,227,1400,4,132.158,1,1,1
دروس,311,1393,4,122.186,1,1,1
قبا,120,1386,2,98.333,1,1,1
دروس,138,1391,3,152.173,1,1,1
چیتگر,100,1401,2,12.0,1,1,1
تهرانپارس شرقی,55,1380,1,41.818,0,0,1
دریاچه شهدای خلیج فارس,112,1396,2,64.285,1,1,1
دهکده المپیک,66,1384,1,57.121,0,1,1
پاسداران,119,1401,2,90.0,1,1,1
سنگلج,50,1384,1,29.0,0,0,1
شمس‌آباد,50,1378,1,56.0,0,0,0
زعفرانیه,185,1386,3,113.513,1,1,1
مولوی,63,1397,2,29.365,1,1,1
دروس,155,1392,3,135.483,1,1,1
پونک,84,1396,2,77.976,1,1,1
کوهک,60,1401,1,29.166,1,1,1
افسریه,63,1385,2,50.793,0,1,1
دریاچه شهدای خلیج فارس,100,1401,2,17.5,1,1,1
دریاچه شهدای خلیج فارس,100,1401,2,17.5,1,1,1
جنت‌آباد مرکزی,140,1401,3,94.285,1,1,1
امامزاده حسن(ع),95,1398,2,35.0,1,0,1
امام حسین(ع),57,1396,1,46.842,1,1,1
پونک,165,1385,3,84.848,1,1,1
مرزداران,101,1388,2,59.405,1,1,1
جیحون,53,1401,1,55.66,1,1,1
سعادت‌آباد,135,1399,3,137.037,1,1,1
هروی,192,1401,3,79.989,1,1,1
میرداماد,166,1401,3,137.349,1,1,1
باغ فیض,79,1382,1,61.392,1,1,1
پونک,70,1389,2,64.285,0,1,1
باغ فیض,77,1384,2,77.012,1,1,1
شهرک غرب,146,1401,3,140.0,1,1,1
الهیه,360,1390,4,222.194,1,1,1
جیحون,40,1394,1,52.5,0,0,1
پونک,85,1394,2,92.941,1,1,1
شهرک راه‌آهن,146,1395,3,75.342,1,1,1
ولنجک,60,1382,2,133.333,1,1,1
زعفرانیه,110,1382,2,100.0,1,1,1
زعفرانیه,175,1385,3,148.0,1,1,1
قیطریه,210,1399,3,128.571,1,1,1
شهرک ژاندارمری,150,1380,3,53.333,0,0,1
یاخچی‌آباد,107,1400,2,42.056,1,1,0
چیتگر,130,1401,3,17.5,1,1,1
مرزداران,80,1382,2,75.0,1,1,1
سعادت‌آباد,220,1385,3,105.909,1,1,1
مجیدآباد,58,1382,1,48.275,0,0,1
نازی‌آباد,50,1382,1,55.0,0,1,1
دریاچه شهدای خلیج فارس,102,1401,2,17.156,1,1,1
سعادت‌آباد,130,1387,3,96.923,1,1,1
